50. Gurjara-Pratihara Dynasty,302
49. Kingdom of Judah,336
48. British Empire,409
47. Roman Empire,422
46. Oyo Empire,438
45. Benin Empire,457
44. Parthian Empire,471
43. Egyptian Empire,473
42. Goryeo,474
41. Georgian Empire,482
40. Spanish Empire,484
39. Kachari Kingdom,496
38. Bornu Empire,496
37. Funan,500
36. Wari Empire,500
35. Joseon Dynasty,505
34. Abbasid Caliphate,508
33. Bruneian Empire,520
32. Saudeleur Dynasty,528
31. Wadiyar Dynasty (Kingdom of Mysore),548
30. Portuguese Empire,584
29. Ahom Dynasty,598
28. Srivijaya Empire,610
27. Armenian Empire,618
26. Ottoman Empire,623
25. Khmer Empire,629
24. Sultanate of Gowa,645
23. Chalukya Dynasty,657
22. Carthaginian Empire,668
21. Paekche Kingdom,678
20. Kingdom of Tondo,687
19. Kanem-Bornu Empire,687
18. Sultanate of Tidore,693
17. Chaví­n Empire,700
16. Republic of Genoa,701
15. Ethiopian Empire (Kingdom of Abyssinia),704
14. Sultanate of Ternate,7632021
13. Zhou Dynasty,790
12. Aksumite Empire,790
11. Holy Roman Empire,844
10. Tu’i Tonga Empire,915
9. Ghana Empire,940
8. Silla Kingdom,992
7. Byzantine Empire,1058
6. Republic of Venice,1100
5. Kingdom of Kush,1420
4. Chera dynasty,1532
3. Chola Empire,1580
2. Assyria,1895
1. Pandyan Dynasty,1925
